,Actual value,Predicted value
572,0,-0.4555004503332587
3873,1,1.9884246554294136
3889,2,2.2111794150803554
16,0,-0.4307647137489643
5710,0,3.9693699472197626
2684,0,-0.4404146626158991
4956,0,1.370381662356401
3162,1,1.402527332735061
1006,0,0.3101333430308131
2207,0,0.07130004651440136
3083,0,1.2346492926463717
2653,0,-0.4118842309584103
5545,0,1.987114582876501
4710,5,2.347624590706248
808,0,0.2206862443148303
4338,1,1.4715793781503903
4216,0,1.4661668440404627
2705,142,75.58328027199144
5091,0,1.875255521022189
5083,0,1.9179018113753914
3817,0,1.477690303758373
5580,0,2.022017590287151
1376,0,0.6422778763657657
5703,0,1.7908756229692435
4270,1,1.7274774453034745
2848,0,-0.18380180689604386
5307,0,2.334517507882712
126,0,-0.18194034688713456
5709,0,1.7316078996551036
1128,3,0.9798606008571777
5205,0,2.342373349517098
784,0,0.5242554524064245
966,0,0.7615010767245587
625,0,0.49576906878479843
2552,0,-0.4439305324492391
121,0,-0.2990011627619671
5273,0,1.834272768954376
1182,0,0.26403593595848207
666,1,0.2641441866406806
995,4,1.9646956332849435
1120,0,0.3878311437539539
4994,3,8.712929374015758
2469,1,-0.21282779271586816
2736,0,-0.30609575766347197
1645,15,7.585129234778657
5246,0,2.0988085915268924
1950,0,0.15594160412119784
4938,0,2.3800308485113506
4731,18,7.959828931606555
249,1,-0.2528456255544296
4935,0,1.6263310461531035
1817,0,0.665732007416437
1036,2,0.5156523318691209
2831,0,5.47820952329266
1134,2,6.026334505172446
1762,0,-0.09344396231252183
1903,0,-0.054423690354244325
5984,0,1.5389546487309915
314,3,0.7957071551984001
1380,4,18.69056104189977
4758,0,1.3676404757265344
2154,0,0.17154936382591135
1083,0,0.24930549274447955
822,0,0.5308786330467425
4401,0,1.47587797782092
1530,1,0.23703153833061474
2396,0,0.047784417049088646
2703,0,-0.42973246085186156
895,0,6.77480548064773
1391,4,6.452693798159546
325,0,0.5428889945517388
884,3,0.7589589316716379
1614,0,0.40464973080180444
1124,0,0.4798728431284114
3824,1,1.9090565791724945
1546,3,0.4013742746759257
1516,0,0.06451822788911121
1018,3,5.604521230220469
2882,2,6.59136382258839
4774,0,1.6183363042450676
181,0,-0.45852585203985674
545,3,-0.18101575617817134
5400,0,1.4600964554023443
236,0,-0.44786194522392186
1407,1,0.40350436874499396
1862,0,-0.09066140355213959
4629,2,1.3756325037030397
2612,1,-0.9227004086483799
4881,1,1.5677068677097257
903,0,0.2671467387229507
258,0,-0.41554516892823856
5933,0,1.852331247577867
4985,9,3.920054996007348
2625,0,-0.45184224540346873
187,2,0.27372657497119945
2348,0,-0.06798835112586277
1244,0,1.1766492882884831
5962,2,1.9810493374086677
5591,0,1.7600456425384579
4079,1,1.728193296588981
4400,0,1.7281479011416074
1740,0,0.15598699956857143
796,2,0.2851940101933472
1063,0,0.26298136479641876
1497,0,0.9132464159947373
1420,0,0.15462513614736384
408,0,-0.45109845845804
2953,0,-0.4555821318755542
5662,0,1.4785912287908642
4291,0,1.4882057267235287
5043,1,2.146926532600765
3570,0,1.8362736605963041
3518,0,2.32344339082762
3279,0,1.850796484240277
1271,0,-0.09168803905428069
2638,50,15.7936501124466
5982,0,1.51055531738003
1427,0,0.15181411036769177
1980,1,5.941417299610655
4527,1,1.3776927586223024
4159,6,4.717970656481555
2526,6,0.3311134806095928
1013,0,0.24925098794465406
3041,0,1.1206992795360073
2997,1,-0.47535010322800586
4630,2,1.3733492948637673
616,6,12.628668357403134
4200,0,1.4999937400500487
5774,69,19.694195459776424
2156,0,-0.09518644910016949
4765,0,1.1778052344970749
2025,1,-0.11851948149210845
224,1,-0.22421908940851565
886,0,0.26374959544427945
4637,0,4.9314208811597116
617,0,0.5296188144187131
1671,1,0.4865218634890427
2317,0,6.577719101989409
5927,6,6.01880178723327
1067,0,0.27058927744899464
4588,1,1.7874284828216367
4884,0,1.1778052344970749
3383,0,2.085068023495432
2710,0,-0.43221417990871225
3571,0,2.336424951833054
